,MODEL,TYPE
0,ILX,Car
1,MDX,SUV
2,NSX,Sport
3,RDX,SUV
4,RLX,Car
5,TLX,Car
6,ROMEO 4C,Sport
7,ROMEO 4C SPIDER,Sport
8,ROMEO GIULIA,Car
9,ROMEO GIULIA QUADRRIFOGLIO,Car
10,ROMEO STELVIO,SUV
11,A3,Hatch
12,A3 SPORTBACK E-TRON,EV
13,A4,Car
14,A4 ALLROAD,Car
15,A5,Car
16,A5 SPORTBACK,Car
17,A6,Car
18,A7,Car
19,A8 LWB,Car
20,Q3,SUV
21,Q5,SUV
22,Q7,SUV
23,R8,Sport
24,R8 SPYDER,Sport
25,RS3,Hatch
26,RS5,Car
27,RS7,Car
28,S3,Hatch
29,S4,Car
30,S5,Car
31,S5 SPORTBACK,Car
32,S6,Car
33,S7,Car
34,S8,Car
35,SQ5,SUV
36,TT,Car
37,TTRS,Car
38,TTS,Car
39,BENTAYGA,SUV
40,CONTINENTAL GT,Sport
41,CONTINENTAL GT SPEED,Sport
42,CONTINENTAL GT V8,Sport
43,CONTINENTAL GT V8 S,Sport
44,CONTINENTAL SUPERSPORTS,Sport
45,FLYING SPUR V8,Car
46,FLYING SPUR V8 S,Car
47,FLYING SPUR W12,Car
48,FLYING SPUR W12 S,Car
49,MULSANNE,Car
50,MULSANNE SPEED,Car
51,2 SERIES,Car
52,3 SERIES,Car
53,3 SERIES GT,Car
54,3 SERIES PHEV,Hybrid
55,4 SERIES,Car
56,5 SERIES,Car
57,5 SERIES PHEV,Hybrid
58,6 SERIES,Car
59,7 SERIES,Car
60,7 SERIES PHEV,Hybrid
61,ALPINA B6,Car
62,ALPINA B7,Car
63,I3 BEV,EV
64,I3 REX,EV
65,M2,Sport
66,M3,Sport
67,M4,Sport
68,M6,Sport
69,X1,SUV
70,X4,SUV
71,X5,SUV
72,X5 M,SUV
73,X5 PHEV,SUV
74,X6,SUV
75,X6 M,SUV
76,CASCADA,Car
77,ENCLAVE,SUV
78,ENCORE,SUV
79,ENVISION,SUV
80,LACROSSE,Car
81,LACROSSE HYBRID,Car
82,REGAL,Car
83,REGAL TOURX,Car
84,ATS,Car
85,ATS-V,Car
86,CT6,Car
87,CT6 PHEV,Car
88,CTS,Car
89,CTS-V,Car
90,ESCALADE,SUV
91,ESCALADE ESV,SUV
92,XT5,SUV
93,XTS,SUV
94,BOLT EV,EV
95,CAMARO,Car
96,CAMARO SS,Car
97,CAMARO ZL1,Sport
98,COLORADO,SUV
99,CORVETTE,Sport
100,CRUZE,Car
101,EQUINOX,SUV
102,EXPRESS CARGO G2500,Van
103,EXPRESS CARGO G3500,Van
104,EXPRESS PASSENGER 2500,Van
105,EXPRESS PASSENGER 3500 12 PASS,Van
106,EXPRESS PASSENGER 3500 15 PASS,Van
107,IMPALA,Car
108,MALIBU,Car
109,MALIBU HEV,Car
110,SILVERADO 1500,Truck
111,SILVERADO 2500,Truck
112,SILVERADO 3500,Truck
113,SONIC,Car
114,SPARK,EV
115,SUBURBAN 1500,SUV
116,TAHOE,SUV
117,TRAVERSE,SUV
118,TRAX,SUV
119,VOLT,Car
120,300,Car
121,PACIFICA,Van
122,PACIFICA PHEV,Hybrid
123,CHALLENGER,Car
124,CHALLENGER SRT,Sport
125,CHALLENGER SRT DEMON,Sport
126,CHARGER,Car
127,CHARGER PURSUIT,Sport
128,CHARGER SRT,Sport
129,DURANGO,SUV
130,DURANGO SRT,SUV
131,GRAND CARAVAN,Van
132,JOURNEY,SUV
133,124 SPIDER,Sport
134,CMAX HEV,Hatch
135,ECOSPORT,SUV
136,EDGE,SUV
137,ESCAPE,SUV
138,EXPEDITION,SUV
139,EXPEDITION EL,SUV
140,EXPLORER,SUV
141,F-150 REGULAR CAB,Truck
142,F-150 SUPER CREW CAB,Truck
143,F-150 SUPERCAB,Truck
144,F-250 CREW CAB,Truck
145,F-250 REGULAR CAB,Truck
146,F-250 SUPERCAB,Truck
147,F-350 CREW,Truck
148,F-350 REGULAR CAB,Truck
149,F-350 SUPERCAB,Truck
150,FIESTA,Hatch
151,FLEX,SUV
152,FOCUS,Hatch
153,FOCUS BEV,EV
154,FOCUS RS,Hatch
155,FUSION,Car
156,FUSION ENERGI,EV
157,FUSION HEV,Car
158,GT,Sport
159,MUSTANG,Sport
160,TAURUS,Car
161,TRANSIT,Van
162,TRANSIT CONNECT,Van
163,TRANSIT HIGH ROOF,Van
164,TRANSIT LOW ROOF 15 PASS,Van
165,"TRANSIT LOW ROOF(8,10,12) PASS",Van
166,TRANSIT MEDIUM ROOF 15 PASS,Van
167,"TRANSIT MEDIUM ROOF(8,10,12) PASS",Van
168,G80,Car
169,G80 SPORT,Car
170,G90,Car
171,ACADIA,SUV
172,CANYON,Truck
173,SAVANA CARGO G2500,Van
174,SAVANA CARGO G3500,Van
175,SAVANA PASSENGER 2500,Van
